Country,Region,Subregion,Indicator,Dimension,Category,Sex,Year
Belgium,Europe,Western Europe,Persons prosecuted,by selected crime,Rape,Total,2015
Bulgaria,Europe,Eastern Europe,Persons prosecuted,by selected crime,Rape,Total,2015
Bosnia and Herzegovina,Europe,Southern Europe,Persons prosecuted,by selected crime,Rape,Total,2015
Barbados,Americas,Latin America and the Caribbean,Persons prosecuted,by selected crime,Rape,Total,2015
Chile,Americas,Latin America and the Caribbean,Persons prosecuted,by selected crime,Rape,Total,2015
China,Asia,Eastern Asia,Persons prosecuted,by selected crime,Rape,Total,2015
Colombia,Americas,Latin America and the Caribbean,Persons prosecuted,by selected crime,Rape,Total,2015
Cyprus,Asia,Western Asia,Persons prosecuted,by selected crime,Rape,Total,2015
Czechia,Europe,Eastern Europe,Persons prosecuted,by selected crime,Rape,Total,2015
Denmark,Europe,Northern Europe,Persons prosecuted,by selected crime,Rape,Total,2015
Algeria,Africa,Northern Africa,Persons prosecuted,by selected crime,Rape,Total,2015
Estonia,Europe,Northern Europe,Persons prosecuted,by selected crime,Rape,Total,2015
France,Europe,Western Europe,Persons prosecuted,by selected crime,Rape,Total,2015
United Kingdom (England and Wales),Europe,Northern Europe,Persons prosecuted,by selected crime,Rape,Total,2015
United Kingdom (Northern Ireland),Europe,Northern Europe,Persons prosecuted,by selected crime,Rape,Total,2015
Guatemala,Americas,Latin America and the Caribbean,Persons prosecuted,by selected crime,Rape,Total,2015
Croatia,Europe,Southern Europe,Persons prosecuted,by selected crime,Rape,Total,2015
Iceland,Europe,Northern Europe,Persons prosecuted,by selected crime,Rape,Total,2015
Kazakhstan,Asia,Central Asia,Persons prosecuted,by selected crime,Rape,Total,2015
Kenya,Africa,Sub-Saharan Africa,Persons prosecuted,by selected crime,Rape,Total,2015
Kyrgyzstan,Asia,Central Asia,Persons prosecuted,by selected crime,Rape,Total,2015
Republic of Korea,Asia,Eastern Asia,Persons prosecuted,by selected crime,Rape,Total,2015
Liechtenstein,Europe,Western Europe,Persons prosecuted,by selected crime,Rape,Total,2015
Lithuania,Europe,Northern Europe,Persons prosecuted,by selected crime,Rape,Total,2015
Latvia,Europe,Northern Europe,Persons prosecuted,by selected crime,Rape,Total,2015
"China, Macao Special Administrative Region",Asia,Eastern Asia,Persons prosecuted,by selected crime,Rape,Total,2015
Morocco,Africa,Northern Africa,Persons prosecuted,by selected crime,Rape,Total,2015
Monaco,Europe,Western Europe,Persons prosecuted,by selected crime,Rape,Total,2015
Madagascar,Africa,Sub-Saharan Africa,Persons prosecuted,by selected crime,Rape,Total,2015
Mexico,Americas,Latin America and the Caribbean,Persons prosecuted,by selected crime,Rape,Total,2015
Malta,Europe,Southern Europe,Persons prosecuted,by selected crime,Rape,Total,2015
Montenegro,Europe,Southern Europe,Persons prosecuted,by selected crime,Rape,Total,2015
Mongolia,Asia,Eastern Asia,Persons prosecuted,by selected crime,Rape,Total,2015
Netherlands (Kingdom of the),Europe,Western Europe,Persons prosecuted,by selected crime,Rape,Total,2015
Panama,Americas,Latin America and the Caribbean,Persons prosecuted,by selected crime,Rape,Total,2015
Philippines,Asia,South-eastern Asia,Persons prosecuted,by selected crime,Rape,Total,2015
Portugal,Europe,Southern Europe,Persons prosecuted,by selected crime,Rape,Total,2015
Paraguay,Americas,Latin America and the Caribbean,Persons prosecuted,by selected crime,Rape,Total,2015
State of Palestine,Asia,Western Asia,Persons prosecuted,by selected crime,Rape,Total,2015
Romania,Europe,Eastern Europe,Persons prosecuted,by selected crime,Rape,Total,2015
Singapore,Asia,South-eastern Asia,Persons prosecuted,by selected crime,Rape,Total,2015
El Salvador,Americas,Latin America and the Caribbean,Persons prosecuted,by selected crime,Rape,Total,2015
Serbia,Europe,Southern Europe,Persons prosecuted,by selected crime,Rape,Total,2015
Slovakia,Europe,Eastern Europe,Persons prosecuted,by selected crime,Rape,Total,2015
Slovenia,Europe,Southern Europe,Persons prosecuted,by selected crime,Rape,Total,2015
Sweden,Europe,Northern Europe,Persons prosecuted,by selected crime,Rape,Total,2015
Thailand,Asia,South-eastern Asia,Persons prosecuted,by selected crime,Rape,Total,2015
Trinidad and Tobago,Americas,Latin America and the Caribbean,Persons prosecuted,by selected crime,Rape,Total,2015
United States of America,Americas,Northern America,Persons prosecuted,by selected crime,Rape,Total,2015
Holy See,Europe,Southern Europe,Persons prosecuted,by selected crime,Rape,Total,2015
Albania,Europe,Southern Europe,Persons prosecuted,by selected crime,Rape,Total,2016
Armenia,Asia,Western Asia,Persons prosecuted,by selected crime,Rape,Total,2016
Austria,Europe,Western Europe,Persons prosecuted,by selected crime,Rape,Total,2016
Azerbaijan,Asia,Western Asia,Persons prosecuted,by selected crime,Rape,Total,2016
Bahamas,Americas,Latin America and the Caribbean,Persons prosecuted,by selected crime,Rape,Total,2016
Bosnia and Herzegovina,Europe,Southern Europe,Persons prosecuted,by selected crime,Rape,Total,2016
Belize,Americas,Latin America and the Caribbean,Persons prosecuted,by selected crime,Rape,Total,2016
Barbados,Americas,Latin America and the Caribbean,Persons prosecuted,by selected crime,Rape,Total,2016
Canada,Americas,Northern America,Persons prosecuted,by selected crime,Rape,Total,2016
Cyprus,Asia,Western Asia,Persons prosecuted,by selected crime,Rape,Total,2016
Czechia,Europe,Eastern Europe,Persons prosecuted,by selected crime,Rape,Total,2016
Denmark,Europe,Northern Europe,Persons prosecuted,by selected crime,Rape,Total,2016
Dominican Republic,Americas,Latin America and the Caribbean,Persons prosecuted,by selected crime,Rape,Total,2016
Estonia,Europe,Northern Europe,Persons prosecuted,by selected crime,Rape,Total,2016
Finland,Europe,Northern Europe,Persons prosecuted,by selected crime,Rape,Total,2016
France,Europe,Western Europe,Persons prosecuted,by selected crime,Rape,Total,2016
United Kingdom (England and Wales),Europe,Northern Europe,Persons prosecuted,by selected crime,Rape,Total,2016
United Kingdom (Northern Ireland),Europe,Northern Europe,Persons prosecuted,by selected crime,Rape,Total,2016
United Kingdom (Scotland),Europe,Northern Europe,Persons prosecuted,by selected crime,Rape,Total,2016
Georgia,Asia,Western Asia,Persons prosecuted,by selected crime,Rape,Total,2016
Guatemala,Americas,Latin America and the Caribbean,Persons prosecuted,by selected crime,Rape,Total,2016
Guyana,Americas,Latin America and the Caribbean,Persons prosecuted,by selected crime,Rape,Total,2016
Croatia,Europe,Southern Europe,Persons prosecuted,by selected crime,Rape,Total,2016
Hungary,Europe,Eastern Europe,Persons prosecuted,by selected crime,Rape,Total,2016
Iceland,Europe,Northern Europe,Persons prosecuted,by selected crime,Rape,Total,2016
Kyrgyzstan,Asia,Central Asia,Persons prosecuted,by selected crime,Rape,Total,2016
Liechtenstein,Europe,Western Europe,Persons prosecuted,by selected crime,Rape,Total,2016
Lithuania,Europe,Northern Europe,Persons prosecuted,by selected crime,Rape,Total,2016
Luxembourg,Europe,Western Europe,Persons prosecuted,by selected crime,Rape,Total,2016
Latvia,Europe,Northern Europe,Persons prosecuted,by selected crime,Rape,Total,2016
"China, Macao Special Administrative Region",Asia,Eastern Asia,Persons prosecuted,by selected crime,Rape,Total,2016
Morocco,Africa,Northern Africa,Persons prosecuted,by selected crime,Rape,Total,2016
Monaco,Europe,Western Europe,Persons prosecuted,by selected crime,Rape,Total,2016
Maldives,Asia,Southern Asia,Persons prosecuted,by selected crime,Rape,Total,2016
Mexico,Americas,Latin America and the Caribbean,Persons prosecuted,by selected crime,Rape,Total,2016
Myanmar,Asia,South-eastern Asia,Persons prosecuted,by selected crime,Rape,Total,2016
Montenegro,Europe,Southern Europe,Persons prosecuted,by selected crime,Rape,Total,2016
Mongolia,Asia,Eastern Asia,Persons prosecuted,by selected crime,Rape,Total,2016
Netherlands (Kingdom of the),Europe,Western Europe,Persons prosecuted,by selected crime,Rape,Total,2016
Norway,Europe,Northern Europe,Persons prosecuted,by selected crime,Rape,Total,2016
New Zealand,Oceania,Australia and New Zealand,Persons prosecuted,by selected crime,Rape,Total,2016
Panama,Americas,Latin America and the Caribbean,Persons prosecuted,by selected crime,Rape,Total,2016
Philippines,Asia,South-eastern Asia,Persons prosecuted,by selected crime,Rape,Total,2016
Poland,Europe,Eastern Europe,Persons prosecuted,by selected crime,Rape,Total,2016
Portugal,Europe,Southern Europe,Persons prosecuted,by selected crime,Rape,Total,2016
Paraguay,Americas,Latin America and the Caribbean,Persons prosecuted,by selected crime,Rape,Total,2016
Romania,Europe,Eastern Europe,Persons prosecuted,by selected crime,Rape,Total,2016
Serbia,Europe,Southern Europe,Persons prosecuted,by selected crime,Rape,Total,2016
Slovakia,Europe,Eastern Europe,Persons prosecuted,by selected crime,Rape,Total,2016
Slovenia,Europe,Southern Europe,Persons prosecuted,by selected crime,Rape,Total,2016
Sweden,Europe,Northern Europe,Persons prosecuted,by selected crime,Rape,Total,2016
Türkiye,Asia,Western Asia,Persons prosecuted,by selected crime,Rape,Total,2016
Uruguay,Americas,Latin America and the Caribbean,Persons prosecuted,by selected crime,Rape,Total,2016
Albania,Europe,Southern Europe,Persons prosecuted,by selected crime,Rape,Total,2017
Andorra,Europe,Southern Europe,Persons prosecuted,by selected crime,Rape,Total,2017
Armenia,Asia,Western Asia,Persons prosecuted,by selected crime,Rape,Total,2017
Antigua and Barbuda,Americas,Latin America and the Caribbean,Persons prosecuted,by selected crime,Rape,Total,2017
Austria,Europe,Western Europe,Persons prosecuted,by selected crime,Rape,Total,2017
Azerbaijan,Asia,Western Asia,Persons prosecuted,by selected crime,Rape,Total,2017
Belgium,Europe,Western Europe,Persons prosecuted,by selected crime,Rape,Total,2017
Bahamas,Americas,Latin America and the Caribbean,Persons prosecuted,by selected crime,Rape,Total,2017
Bosnia and Herzegovina,Europe,Southern Europe,Persons prosecuted,by selected crime,Rape,Total,2017
Bolivia (Plurinational State of),Americas,Latin America and the Caribbean,Persons prosecuted,by selected crime,Rape,Total,2017
Barbados,Americas,Latin America and the Caribbean,Persons prosecuted,by selected crime,Rape,Total,2017
Canada,Americas,Northern America,Persons prosecuted,by selected crime,Rape,Total,2017
Chile,Americas,Latin America and the Caribbean,Persons prosecuted,by selected crime,Rape,Total,2017
Cyprus,Asia,Western Asia,Persons prosecuted,by selected crime,Rape,Total,2017
Czechia,Europe,Eastern Europe,Persons prosecuted,by selected crime,Rape,Total,2017
Denmark,Europe,Northern Europe,Persons prosecuted,by selected crime,Rape,Total,2017
Estonia,Europe,Northern Europe,Persons prosecuted,by selected crime,Rape,Total,2017
Finland,Europe,Northern Europe,Persons prosecuted,by selected crime,Rape,Total,2017
France,Europe,Western Europe,Persons prosecuted,by selected crime,Rape,Total,2017
United Kingdom (Northern Ireland),Europe,Northern Europe,Persons prosecuted,by selected crime,Rape,Total,2017
United Kingdom (Scotland),Europe,Northern Europe,Persons prosecuted,by selected crime,Rape,Total,2017
Guatemala,Americas,Latin America and the Caribbean,Persons prosecuted,by selected crime,Rape,Total,2017
Guyana,Americas,Latin America and the Caribbean,Persons prosecuted,by selected crime,Rape,Total,2017
Croatia,Europe,Southern Europe,Persons prosecuted,by selected crime,Rape,Total,2017
Hungary,Europe,Eastern Europe,Persons prosecuted,by selected crime,Rape,Total,2017
Iceland,Europe,Northern Europe,Persons prosecuted,by selected crime,Rape,Total,2017
Kenya,Africa,Sub-Saharan Africa,Persons prosecuted,by selected crime,Rape,Total,2017
Kyrgyzstan,Asia,Central Asia,Persons prosecuted,by selected crime,Rape,Total,2017
Liechtenstein,Europe,Western Europe,Persons prosecuted,by selected crime,Rape,Total,2017
Lithuania,Europe,Northern Europe,Persons prosecuted,by selected crime,Rape,Total,2017
Luxembourg,Europe,Western Europe,Persons prosecuted,by selected crime,Rape,Total,2017
Latvia,Europe,Northern Europe,Persons prosecuted,by selected crime,Rape,Total,2017
"China, Macao Special Administrative Region",Asia,Eastern Asia,Persons prosecuted,by selected crime,Rape,Total,2017
Morocco,Africa,Northern Africa,Persons prosecuted,by selected crime,Rape,Total,2017
Maldives,Asia,Southern Asia,Persons prosecuted,by selected crime,Rape,Total,2017
Mexico,Americas,Latin America and the Caribbean,Persons prosecuted,by selected crime,Rape,Total,2017
Malta,Europe,Southern Europe,Persons prosecuted,by selected crime,Rape,Total,2017
Montenegro,Europe,Southern Europe,Persons prosecuted,by selected crime,Rape,Total,2017
Netherlands (Kingdom of the),Europe,Western Europe,Persons prosecuted,by selected crime,Rape,Total,2017
Norway,Europe,Northern Europe,Persons prosecuted,by selected crime,Rape,Total,2017
New Zealand,Oceania,Australia and New Zealand,Persons prosecuted,by selected crime,Rape,Total,2017
Philippines,Asia,South-eastern Asia,Persons prosecuted,by selected crime,Rape,Total,2017
Poland,Europe,Eastern Europe,Persons prosecuted,by selected crime,Rape,Total,2017
Puerto Rico,Americas,Latin America and the Caribbean,Persons prosecuted,by selected crime,Rape,Total,2017
Portugal,Europe,Southern Europe,Persons prosecuted,by selected crime,Rape,Total,2017
Paraguay,Americas,Latin America and the Caribbean,Persons prosecuted,by selected crime,Rape,Total,2017
Romania,Europe,Eastern Europe,Persons prosecuted,by selected crime,Rape,Total,2017
Serbia,Europe,Southern Europe,Persons prosecuted,by selected crime,Rape,Total,2017
Slovakia,Europe,Eastern Europe,Persons prosecuted,by selected crime,Rape,Total,2017
Slovenia,Europe,Southern Europe,Persons prosecuted,by selected crime,Rape,Total,2017
Sweden,Europe,Northern Europe,Persons prosecuted,by selected crime,Rape,Total,2017
Türkiye,Asia,Western Asia,Persons prosecuted,by selected crime,Rape,Total,2017
Uruguay,Americas,Latin America and the Caribbean,Persons prosecuted,by selected crime,Rape,Total,2017
Albania,Europe,Southern Europe,Persons prosecuted,by selected crime,Rape,Total,2018
Andorra,Europe,Southern Europe,Persons prosecuted,by selected crime,Rape,Total,2018
Antigua and Barbuda,Americas,Latin America and the Caribbean,Persons prosecuted,by selected crime,Rape,Total,2018
Austria,Europe,Western Europe,Persons prosecuted,by selected crime,Rape,Total,2018
Azerbaijan,Asia,Western Asia,Persons prosecuted,by selected crime,Rape,Total,2018
Belgium,Europe,Western Europe,Persons prosecuted,by selected crime,Rape,Total,2018
Bosnia and Herzegovina,Europe,Southern Europe,Persons prosecuted,by selected crime,Rape,Total,2018
Bolivia (Plurinational State of),Americas,Latin America and the Caribbean,Persons prosecuted,by selected crime,Rape,Total,2018
Barbados,Americas,Latin America and the Caribbean,Persons prosecuted,by selected crime,Rape,Total,2018
Chile,Americas,Latin America and the Caribbean,Persons prosecuted,by selected crime,Rape,Total,2018
Cyprus,Asia,Western Asia,Persons prosecuted,by selected crime,Rape,Total,2018
Czechia,Europe,Eastern Europe,Persons prosecuted,by selected crime,Rape,Total,2018
Djibouti,Africa,Sub-Saharan Africa,Persons prosecuted,by selected crime,Rape,Total,2018
Dominica,Americas,Latin America and the Caribbean,Persons prosecuted,by selected crime,Rape,Total,2018
Denmark,Europe,Northern Europe,Persons prosecuted,by selected crime,Rape,Total,2018
Estonia,Europe,Northern Europe,Persons prosecuted,by selected crime,Rape,Total,2018
Finland,Europe,Northern Europe,Persons prosecuted,by selected crime,Rape,Total,2018
France,Europe,Western Europe,Persons prosecuted,by selected crime,Rape,Total,2018
United Kingdom (Northern Ireland),Europe,Northern Europe,Persons prosecuted,by selected crime,Rape,Total,2018
Guatemala,Americas,Latin America and the Caribbean,Persons prosecuted,by selected crime,Rape,Total,2018
Guyana,Americas,Latin America and the Caribbean,Persons prosecuted,by selected crime,Rape,Total,2018
Croatia,Europe,Southern Europe,Persons prosecuted,by selected crime,Rape,Total,2018
Hungary,Europe,Eastern Europe,Persons prosecuted,by selected crime,Rape,Total,2018
Iceland,Europe,Northern Europe,Persons prosecuted,by selected crime,Rape,Total,2018
Kenya,Africa,Sub-Saharan Africa,Persons prosecuted,by selected crime,Rape,Total,2018
Kyrgyzstan,Asia,Central Asia,Persons prosecuted,by selected crime,Rape,Total,2018
Liechtenstein,Europe,Western Europe,Persons prosecuted,by selected crime,Rape,Total,2018
Lithuania,Europe,Northern Europe,Persons prosecuted,by selected crime,Rape,Total,2018
Luxembourg,Europe,Western Europe,Persons prosecuted,by selected crime,Rape,Total,2018
Latvia,Europe,Northern Europe,Persons prosecuted,by selected crime,Rape,Total,2018
"China, Macao Special Administrative Region",Asia,Eastern Asia,Persons prosecuted,by selected crime,Rape,Total,2018
Mexico,Americas,Latin America and the Caribbean,Persons prosecuted,by selected crime,Rape,Total,2018
Myanmar,Asia,South-eastern Asia,Persons prosecuted,by selected crime,Rape,Total,2018
Montenegro,Europe,Southern Europe,Persons prosecuted,by selected crime,Rape,Total,2018
Mongolia,Asia,Eastern Asia,Persons prosecuted,by selected crime,Rape,Total,2018
Nicaragua,Americas,Latin America and the Caribbean,Persons prosecuted,by selected crime,Rape,Total,2018
Netherlands (Kingdom of the),Europe,Western Europe,Persons prosecuted,by selected crime,Rape,Total,2018
Norway,Europe,Northern Europe,Persons prosecuted,by selected crime,Rape,Total,2018
New Zealand,Oceania,Australia and New Zealand,Persons prosecuted,by selected crime,Rape,Total,2018
Philippines,Asia,South-eastern Asia,Persons prosecuted,by selected crime,Rape,Total,2018
Poland,Europe,Eastern Europe,Persons prosecuted,by selected crime,Rape,Total,2018
Portugal,Europe,Southern Europe,Persons prosecuted,by selected crime,Rape,Total,2018
Romania,Europe,Eastern Europe,Persons prosecuted,by selected crime,Rape,Total,2018
El Salvador,Americas,Latin America and the Caribbean,Persons prosecuted,by selected crime,Rape,Total,2018
Serbia,Europe,Southern Europe,Persons prosecuted,by selected crime,Rape,Total,2018
Suriname,Americas,Latin America and the Caribbean,Persons prosecuted,by selected crime,Rape,Total,2018
Slovakia,Europe,Eastern Europe,Persons prosecuted,by selected crime,Rape,Total,2018
Slovenia,Europe,Southern Europe,Persons prosecuted,by selected crime,Rape,Total,2018
Sweden,Europe,Northern Europe,Persons prosecuted,by selected crime,Rape,Total,2018
Thailand,Asia,South-eastern Asia,Persons prosecuted,by selected crime,Rape,Total,2018
Türkiye,Asia,Western Asia,Persons prosecuted,by selected crime,Rape,Total,2018
Uzbekistan,Asia,Central Asia,Persons prosecuted,by selected crime,Rape,Total,2018
Venezuela (Bolivarian Republic of),Americas,Latin America and the Caribbean,Persons prosecuted,by selected crime,Rape,Total,2018
Albania,Europe,Southern Europe,Persons prosecuted,by selected crime,Rape,Total,2019
Andorra,Europe,Southern Europe,Persons prosecuted,by selected crime,Rape,Total,2019
Antigua and Barbuda,Americas,Latin America and the Caribbean,Persons prosecuted,by selected crime,Rape,Total,2019
Austria,Europe,Western Europe,Persons prosecuted,by selected crime,Rape,Total,2019
Azerbaijan,Asia,Western Asia,Persons prosecuted,by selected crime,Rape,Total,2019
Belgium,Europe,Western Europe,Persons prosecuted,by selected crime,Rape,Total,2019
Bosnia and Herzegovina,Europe,Southern Europe,Persons prosecuted,by selected crime,Rape,Total,2019
Belize,Americas,Latin America and the Caribbean,Persons prosecuted,by selected crime,Rape,Total,2019
Barbados,Americas,Latin America and the Caribbean,Persons prosecuted,by selected crime,Rape,Total,2019
Chile,Americas,Latin America and the Caribbean,Persons prosecuted,by selected crime,Rape,Total,2019
Colombia,Americas,Latin America and the Caribbean,Persons prosecuted,by selected crime,Rape,Total,2019
Cyprus,Asia,Western Asia,Persons prosecuted,by selected crime,Rape,Total,2019
Czechia,Europe,Eastern Europe,Persons prosecuted,by selected crime,Rape,Total,2019
Dominica,Americas,Latin America and the Caribbean,Persons prosecuted,by selected crime,Rape,Total,2019
Denmark,Europe,Northern Europe,Persons prosecuted,by selected crime,Rape,Total,2019
Dominican Republic,Americas,Latin America and the Caribbean,Persons prosecuted,by selected crime,Rape,Total,2019
Estonia,Europe,Northern Europe,Persons prosecuted,by selected crime,Rape,Total,2019
Finland,Europe,Northern Europe,Persons prosecuted,by selected crime,Rape,Total,2019
France,Europe,Western Europe,Persons prosecuted,by selected crime,Rape,Total,2019
United Kingdom (Northern Ireland),Europe,Northern Europe,Persons prosecuted,by selected crime,Rape,Total,2019
Grenada,Americas,Latin America and the Caribbean,Persons prosecuted,by selected crime,Rape,Total,2019
Guyana,Americas,Latin America and the Caribbean,Persons prosecuted,by selected crime,Rape,Total,2019
Croatia,Europe,Southern Europe,Persons prosecuted,by selected crime,Rape,Total,2019
Hungary,Europe,Eastern Europe,Persons prosecuted,by selected crime,Rape,Total,2019
Iceland,Europe,Northern Europe,Persons prosecuted,by selected crime,Rape,Total,2019
Israel,Asia,Western Asia,Persons prosecuted,by selected crime,Rape,Total,2019
Jamaica,Americas,Latin America and the Caribbean,Persons prosecuted,by selected crime,Rape,Total,2019
Saint Kitts and Nevis,Americas,Latin America and the Caribbean,Persons prosecuted,by selected crime,Rape,Total,2019
Saint Lucia,Americas,Latin America and the Caribbean,Persons prosecuted,by selected crime,Rape,Total,2019
Liechtenstein,Europe,Western Europe,Persons prosecuted,by selected crime,Rape,Total,2019
Lithuania,Europe,Northern Europe,Persons prosecuted,by selected crime,Rape,Total,2019
Latvia,Europe,Northern Europe,Persons prosecuted,by selected crime,Rape,Total,2019
"China, Macao Special Administrative Region",Asia,Eastern Asia,Persons prosecuted,by selected crime,Rape,Total,2019
Morocco,Africa,Northern Africa,Persons prosecuted,by selected crime,Rape,Total,2019
Mexico,Americas,Latin America and the Caribbean,Persons prosecuted,by selected crime,Rape,Total,2019
Myanmar,Asia,South-eastern Asia,Persons prosecuted,by selected crime,Rape,Total,2019
Montenegro,Europe,Southern Europe,Persons prosecuted,by selected crime,Rape,Total,2019
Mongolia,Asia,Eastern Asia,Persons prosecuted,by selected crime,Rape,Total,2019
Nicaragua,Americas,Latin America and the Caribbean,Persons prosecuted,by selected crime,Rape,Total,2019
Netherlands (Kingdom of the),Europe,Western Europe,Persons prosecuted,by selected crime,Rape,Total,2019
Norway,Europe,Northern Europe,Persons prosecuted,by selected crime,Rape,Total,2019
New Zealand,Oceania,Australia and New Zealand,Persons prosecuted,by selected crime,Rape,Total,2019
Panama,Americas,Latin America and the Caribbean,Persons prosecuted,by selected crime,Rape,Total,2019
Peru,Americas,Latin America and the Caribbean,Persons prosecuted,by selected crime,Rape,Total,2019
Philippines,Asia,South-eastern Asia,Persons prosecuted,by selected crime,Rape,Total,2019
Poland,Europe,Eastern Europe,Persons prosecuted,by selected crime,Rape,Total,2019
Portugal,Europe,Southern Europe,Persons prosecuted,by selected crime,Rape,Total,2019
Romania,Europe,Eastern Europe,Persons prosecuted,by selected crime,Rape,Total,2019
El Salvador,Americas,Latin America and the Caribbean,Persons prosecuted,by selected crime,Rape,Total,2019
Serbia,Europe,Southern Europe,Persons prosecuted,by selected crime,Rape,Total,2019
Suriname,Americas,Latin America and the Caribbean,Persons prosecuted,by selected crime,Rape,Total,2019
Slovakia,Europe,Eastern Europe,Persons prosecuted,by selected crime,Rape,Total,2019
Slovenia,Europe,Southern Europe,Persons prosecuted,by selected crime,Rape,Total,2019
Sweden,Europe,Northern Europe,Persons prosecuted,by selected crime,Rape,Total,2019
Thailand,Asia,South-eastern Asia,Persons prosecuted,by selected crime,Rape,Total,2019
Trinidad and Tobago,Americas,Latin America and the Caribbean,Persons prosecuted,by selected crime,Rape,Total,2019
Türkiye,Asia,Western Asia,Persons prosecuted,by selected crime,Rape,Total,2019
Uzbekistan,Asia,Central Asia,Persons prosecuted,by selected crime,Rape,Total,2019
Albania,Europe,Southern Europe,Persons prosecuted,by selected crime,Rape,Total,2020
Andorra,Europe,Southern Europe,Persons prosecuted,by selected crime,Rape,Total,2020
Antigua and Barbuda,Americas,Latin America and the Caribbean,Persons prosecuted,by selected crime,Rape,Total,2020
Austria,Europe,Western Europe,Persons prosecuted,by selected crime,Rape,Total,2020
Azerbaijan,Asia,Western Asia,Persons prosecuted,by selected crime,Rape,Total,2020
Belgium,Europe,Western Europe,Persons prosecuted,by selected crime,Rape,Total,2020
Bahamas,Americas,Latin America and the Caribbean,Persons prosecuted,by selected crime,Rape,Total,2020
Bosnia and Herzegovina,Europe,Southern Europe,Persons prosecuted,by selected crime,Rape,Total,2020
Belize,Americas,Latin America and the Caribbean,Persons prosecuted,by selected crime,Rape,Total,2020
Bermuda,Americas,Northern America,Persons prosecuted,by selected crime,Rape,Total,2020
Barbados,Americas,Latin America and the Caribbean,Persons prosecuted,by selected crime,Rape,Total,2020
Chile,Americas,Latin America and the Caribbean,Persons prosecuted,by selected crime,Rape,Total,2020
Colombia,Americas,Latin America and the Caribbean,Persons prosecuted,by selected crime,Rape,Total,2020
Czechia,Europe,Eastern Europe,Persons prosecuted,by selected crime,Rape,Total,2020
Dominica,Americas,Latin America and the Caribbean,Persons prosecuted,by selected crime,Rape,Total,2020
Denmark,Europe,Northern Europe,Persons prosecuted,by selected crime,Rape,Total,2020
Dominican Republic,Americas,Latin America and the Caribbean,Persons prosecuted,by selected crime,Rape,Total,2020
Algeria,Africa,Northern Africa,Persons prosecuted,by selected crime,Rape,Total,2020
Estonia,Europe,Northern Europe,Persons prosecuted,by selected crime,Rape,Total,2020
Finland,Europe,Northern Europe,Persons prosecuted,by selected crime,Rape,Total,2020
France,Europe,Western Europe,Persons prosecuted,by selected crime,Rape,Total,2020
United Kingdom (Northern Ireland),Europe,Northern Europe,Persons prosecuted,by selected crime,Rape,Total,2020
United Kingdom (Scotland),Europe,Northern Europe,Persons prosecuted,by selected crime,Rape,Total,2020
Greece,Europe,Southern Europe,Persons prosecuted,by selected crime,Rape,Total,2020
Grenada,Americas,Latin America and the Caribbean,Persons prosecuted,by selected crime,Rape,Total,2020
Croatia,Europe,Southern Europe,Persons prosecuted,by selected crime,Rape,Total,2020
Hungary,Europe,Eastern Europe,Persons prosecuted,by selected crime,Rape,Total,2020
Israel,Asia,Western Asia,Persons prosecuted,by selected crime,Rape,Total,2020
Japan,Asia,Eastern Asia,Persons prosecuted,by selected crime,Rape,Total,2020
Kenya,Africa,Sub-Saharan Africa,Persons prosecuted,by selected crime,Rape,Total,2020
Saint Kitts and Nevis,Americas,Latin America and the Caribbean,Persons prosecuted,by selected crime,Rape,Total,2020
Saint Lucia,Americas,Latin America and the Caribbean,Persons prosecuted,by selected crime,Rape,Total,2020
Liechtenstein,Europe,Western Europe,Persons prosecuted,by selected crime,Rape,Total,2020
Lithuania,Europe,Northern Europe,Persons prosecuted,by selected crime,Rape,Total,2020
Luxembourg,Europe,Western Europe,Persons prosecuted,by selected crime,Rape,Total,2020
Latvia,Europe,Northern Europe,Persons prosecuted,by selected crime,Rape,Total,2020
"China, Macao Special Administrative Region",Asia,Eastern Asia,Persons prosecuted,by selected crime,Rape,Total,2020
Morocco,Africa,Northern Africa,Persons prosecuted,by selected crime,Rape,Total,2020
Mexico,Americas,Latin America and the Caribbean,Persons prosecuted,by selected crime,Rape,Total,2020
Myanmar,Asia,South-eastern Asia,Persons prosecuted,by selected crime,Rape,Total,2020
Montenegro,Europe,Southern Europe,Persons prosecuted,by selected crime,Rape,Total,2020
Mongolia,Asia,Eastern Asia,Persons prosecuted,by selected crime,Rape,Total,2020
Norway,Europe,Northern Europe,Persons prosecuted,by selected crime,Rape,Total,2020
New Zealand,Oceania,Australia and New Zealand,Persons prosecuted,by selected crime,Rape,Total,2020
Panama,Americas,Latin America and the Caribbean,Persons prosecuted,by selected crime,Rape,Total,2020
Peru,Americas,Latin America and the Caribbean,Persons prosecuted,by selected crime,Rape,Total,2020
Poland,Europe,Eastern Europe,Persons prosecuted,by selected crime,Rape,Total,2020
Portugal,Europe,Southern Europe,Persons prosecuted,by selected crime,Rape,Total,2020
Romania,Europe,Eastern Europe,Persons prosecuted,by selected crime,Rape,Total,2020
El Salvador,Americas,Latin America and the Caribbean,Persons prosecuted,by selected crime,Rape,Total,2020
Serbia,Europe,Southern Europe,Persons prosecuted,by selected crime,Rape,Total,2020
Suriname,Americas,Latin America and the Caribbean,Persons prosecuted,by selected crime,Rape,Total,2020
